price buy,capacity,nb doors,safety,lug_boot,price maint,accept
vhigh,small,2,unacc,low,2,vhigh
vhigh,small,2,unacc,med,2,vhigh
vhigh,small,2,unacc,high,2,vhigh
vhigh,med,2,unacc,low,2,vhigh
vhigh,med,2,unacc,med,2,vhigh
vhigh,med,2,unacc,high,2,vhigh
vhigh,big,2,unacc,low,2,vhigh
vhigh,big,2,unacc,med,2,vhigh
vhigh,big,2,unacc,high,2,vhigh
vhigh,small,4,unacc,low,2,vhigh
vhigh,small,4,unacc,med,2,vhigh
vhigh,small,4,unacc,high,2,vhigh
vhigh,med,4,unacc,low,2,vhigh
vhigh,med,4,unacc,med,2,vhigh
vhigh,med,4,unacc,high,2,vhigh
vhigh,big,4,unacc,low,2,vhigh
vhigh,big,4,unacc,med,2,vhigh
vhigh,big,4,unacc,high,2,vhigh
vhigh,small,more,unacc,low,2,vhigh
vhigh,small,more,unacc,med,2,vhigh
vhigh,small,more,unacc,high,2,vhigh
vhigh,med,more,unacc,low,2,vhigh
vhigh,med,more,unacc,med,2,vhigh
vhigh,med,more,unacc,high,2,vhigh
vhigh,big,more,unacc,low,2,vhigh
vhigh,big,more,unacc,med,2,vhigh
vhigh,big,more,unacc,high,2,vhigh
vhigh,small,2,unacc,low,3,vhigh
vhigh,small,2,unacc,med,3,vhigh
vhigh,small,2,unacc,high,3,vhigh
vhigh,med,2,unacc,low,3,vhigh
vhigh,med,2,unacc,med,3,vhigh
vhigh,med,2,unacc,high,3,vhigh
vhigh,big,2,unacc,low,3,vhigh
vhigh,big,2,unacc,med,3,vhigh
vhigh,big,2,unacc,high,3,vhigh
vhigh,small,4,unacc,low,3,vhigh
vhigh,small,4,unacc,med,3,vhigh
vhigh,small,4,unacc,high,3,vhigh
vhigh,med,4,unacc,low,3,vhigh
vhigh,med,4,unacc,med,3,vhigh
vhigh,med,4,unacc,high,3,vhigh
vhigh,big,4,unacc,low,3,vhigh
vhigh,big,4,unacc,med,3,vhigh
vhigh,big,4,unacc,high,3,vhigh
vhigh,small,more,unacc,low,3,vhigh
vhigh,small,more,unacc,med,3,vhigh
vhigh,small,more,unacc,high,3,vhigh
vhigh,med,more,unacc,low,3,vhigh
vhigh,med,more,unacc,med,3,vhigh
vhigh,med,more,unacc,high,3,vhigh
vhigh,big,more,unacc,low,3,vhigh
vhigh,big,more,unacc,med,3,vhigh
vhigh,big,more,unacc,high,3,vhigh
vhigh,small,2,unacc,low,4,vhigh
vhigh,small,2,unacc,med,4,vhigh
vhigh,small,2,unacc,high,4,vhigh
vhigh,med,2,unacc,low,4,vhigh
vhigh,med,2,unacc,med,4,vhigh
vhigh,med,2,unacc,high,4,vhigh
vhigh,big,2,unacc,low,4,vhigh
vhigh,big,2,unacc,med,4,vhigh
vhigh,big,2,unacc,high,4,vhigh
vhigh,small,4,unacc,low,4,vhigh
vhigh,small,4,unacc,med,4,vhigh
vhigh,small,4,unacc,high,4,vhigh
vhigh,med,4,unacc,low,4,vhigh
vhigh,med,4,unacc,med,4,vhigh
vhigh,med,4,unacc,high,4,vhigh
vhigh,big,4,unacc,low,4,vhigh
vhigh,big,4,unacc,med,4,vhigh
vhigh,big,4,unacc,high,4,vhigh
vhigh,small,more,unacc,low,4,vhigh
vhigh,small,more,unacc,med,4,vhigh
vhigh,small,more,unacc,high,4,vhigh
vhigh,med,more,unacc,low,4,vhigh
vhigh,med,more,unacc,med,4,vhigh
vhigh,med,more,unacc,high,4,vhigh
vhigh,big,more,unacc,low,4,vhigh
vhigh,big,more,unacc,med,4,vhigh
vhigh,big,more,unacc,high,4,vhigh
vhigh,small,2,unacc,low,5more,vhigh
vhigh,small,2,unacc,med,5more,vhigh
vhigh,small,2,unacc,high,5more,vhigh
vhigh,med,2,unacc,low,5more,vhigh
vhigh,med,2,unacc,med,5more,vhigh
vhigh,med,2,unacc,high,5more,vhigh
vhigh,big,2,unacc,low,5more,vhigh
vhigh,big,2,unacc,med,5more,vhigh
vhigh,big,2,unacc,high,5more,vhigh
vhigh,small,4,unacc,low,5more,vhigh
vhigh,small,4,unacc,med,5more,vhigh
vhigh,small,4,unacc,high,5more,vhigh
vhigh,med,4,unacc,low,5more,vhigh
vhigh,med,4,unacc,med,5more,vhigh
vhigh,med,4,unacc,high,5more,vhigh
vhigh,big,4,unacc,low,5more,vhigh
vhigh,big,4,unacc,med,5more,vhigh
vhigh,big,4,unacc,high,5more,vhigh
vhigh,small,more,unacc,low,5more,vhigh
vhigh,small,more,unacc,med,5more,vhigh
vhigh,small,more,unacc,high,5more,vhigh
vhigh,med,more,unacc,low,5more,vhigh
vhigh,med,more,unacc,med,5more,vhigh
vhigh,med,more,unacc,high,5more,vhigh
vhigh,big,more,unacc,low,5more,vhigh
vhigh,big,more,unacc,med,5more,vhigh
vhigh,big,more,unacc,high,5more,vhigh
high,small,2,unacc,low,2,vhigh
high,small,2,unacc,med,2,vhigh
high,small,2,unacc,high,2,vhigh
high,med,2,unacc,low,2,vhigh
